CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
00-01-7262-46,01-312,ciudad capital,zona 1,colegio cientifico secretarial guatemalteco,8a.calle 2-29,22515677,amado salomon flores perez,juan ramon lemus corado,diversificado,privado,urbana,abierta,monolingue,matutina,diario(regular),guatemala norte
00-01-7263-46,,ciudad capital,zona 1,colegio secretarial guatemalteco,5a. calle 0-26 zona 1,22323368,,,diversificado,privado,urbana,cerrada temporalmente,monolingue,vespertina,diario(regular),guatemala norte
00-01-7291-46,,ciudad capital,zona 1,liceo tikal,12 ave. 'a' 20-43 zona 1,22380144,,,diversificado,privado,urbana,cerrada temporalmente,monolingue,matutina,diario(regular),guatemala norte
00-01-7293-46,,ciudad capital,zona 1,colegio maybal,5a calle 0-65 zona 1,22323065,,,diversificado,privado,urbana,cerrada temporalmente,monolingue,vespertina,diario(regular),guatemala norte
00-01-7294-46,,ciudad capital,zona 1,colegio maybal,5a. calle 0-65 zona 1,,,,diversificado,privado,urbana,cerrada temporalmente,monolingue,nocturna,diario(regular),guatemala norte
00-01-7295-46,01-627,ciudad capital,zona 1,colegio maybal,5a. calle 0-65,22323065,isaura amparo recinos carrillo,-----,diversificado,privado,urbana,cerrada temporalmente,monolingue,doble,fin de semana,guatemala norte
00-01-7314-46,01-318,ciudad capital,zona 1,centro de formacion preuniversitaria dr reichmann,5av. 2-43,22329834,leslie azucena monzon tecun,,diversificado,privado,urbana,abierta,monolingue,matutina,diario(regular),guatemala norte
00-01-7321-46,01-312,ciudad capital,zona 1,liceo tecnico ciencia y desarrollo,10a. 3a. calle-15,36117881,amado salomon flores perez,myriam jeannette cifuentes ortiz,diversificado,privado,urbana,abierta,monolingue,matutina,diario(regular),guatemala norte
00-01-7324-46,01-403,ciudad capital,zona 1,liceo cristiano cantares,12 ave. 3-03,22211142,carlos humberto gonzalez de leon,,diversificado,privado,urbana,abierta,monolingue,matutina,fin de semana,guatemala norte
00-01-7326-46,,ciudad capital,zona 1,centro profesional de estudios de computacion,2a. calle 10-77 zona 1,,,,diversificado,privado,urbana,cerrada temporalmente,monolingue,intermedia,diario(regular),guatemala norte
00-01-7329-46,01-403,ciudad capital,zona 1,centro profesional de estudios de computacion,2a. calle 10-77,22384425,carlos humberto gonzalez de leon,,diversificado,privado,urbana,abierta,monolingue,doble,sabatino,guatemala norte
00-01-7361-46,01-312,ciudad capital,zona 1,instituto normal para senoritas centro america,1a. calle c 2-29,22200329,amado salomon flores perez,fernando mauricio ruano marroquin,diversificado,oficial,urbana,abierta,monolingue,vespertina,diario(regular),guatemala norte
